Incident/Oil Spill Ref. No.  ,e-PAGE code,Facility/ Equipment  ,  Facility Category  ,Location,Closeby Facility,Area  ,LGA     ,State      ,   Lat (N)   ,   Long (E)   ,Date of Incident/Spill,Date of Incident/Spill Observed ,Time of Incident/Spill,Time of Incident/Spill Observed,Date spill was stopped,Date spill was contained,Time spill was contained, OML/OPL ,Incident/Spill cause       ,Incident/ Spill Category    ,Description of Incident/Spill causes,Incident/Spill responsibility,Est. Qty. Spilled (bbls),Est. Qty. Recovered(bbls)
2013/OS/683,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.6'',E 006° 02' 24.3'',2/12/2013,2/12/2013,,9:35,,,,,Oil theft,Sabotage,"Previously repaired point cut open and 3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/685,,"18"" Tebidaba/Brass Pipeline",Pipeline,Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 45.2'',E 006° 01' 54.8'',3/12/2013,3/12/2013,,12:40,,,,,Oil theft,Sabotage,"Previously repaired point cut open and 3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/688,,"18"" Obama/Brass Pipeline",Pipeline,Adikiama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 34' 01.8'',E 006° 15' 32.5'',4/12/2013,4/12/2013,,15:56,,,,,Oil theft,Sabotage,"3"" valve with elbow connection installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/690,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.7'',E 006° 00' 28.2'',5/12/2013,5/12/2013,,16:40,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/691,,"18"" Obama/Brass Pipeline",Pipeline,Adikiama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 32' 09.6'',E 006° 15' 32.2'',5/12/2013,5/12/2013,,15:56,,,,,Oil theft,Sabotage,"3"" valve with pipe connection installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/695,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 34.8'',E 005° 57' 30.7'',6/12/2013,6/12/2013,,10:40,,,,,Oil theft,Sabotage,"6"" Valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/696,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 33.3'',E 005° 57' 35.5'',6/12/2013,6/12/2013,,10:40,,,,,Oil theft,Sabotage,"6"" valve installed on pipe by unknown person(s).",Third party,TBE,
2013/OS/697,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.7'',E 006° 00' 28.2'',6/12/2013,6/12/2013,,16:40,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/698,,"18"" Tebidaba/Brass Pipeline",Pipeline,Babaragbene,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 03.9'',E 006° 01' 24.9'',7/12/2013,7/12/2013,,12:40,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/701,,Obrikom mini manifold,MANIFOLD,Omoku,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 24' 52.3'',E 006° 36' 23.2'',9/12/2013,9/12/2013,,9:00,9/12/2013,,OML 61,,Others,Sabotage,Unknown person(s) opened (tampered with) the needle valves at the mini manifold.,Third party,11.32,4
2013/OS/702,,"18"" Tebidaba/Brass Pipeline",Pipeline,Baberegbene,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 57.2'',E 006° 01' 45.2'',9/12/2013,9/12/2013,,9:50,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with 2"" pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/705,,"14"" Ogboinbiri/Tebidaba pipeline",Pipeline,Ikeinghenbiri,OGBAINBIRI,SAR,Southern Ijaw,Bayelsa State,N 04° 42' 11.9'',E 005° 58' 05.0'',9/12/2013,9/12/2013,,14:32,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/707,,"14"" Ogboinbiri/Tebidaba pipeline",Pipeline,Ikebiri,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 40' 33.1'',E 005° 57' 39.7'',10/12/2013,10/12/2013,,14:32,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/708,,"18"" Tebidaba/Brass Pipeline",Pipeline,Baberegbene,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 51.2'',E 006° 01' 45.2'',10/12/2013,10/12/2013,,9:50,,,,,Oil theft,Sabotage,"3"" nipple installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/709,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 35.0'',E 006° 00' 26.8'',10/12/2013,10/12/2013,,9:25,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person((s)..",Third party,TBE,
2013/OS/717,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 39.4'',E 006° 00' 17.7'',12/12/2013,12/12/2013,,11:00,,,,,Oil theft,Sabotage,"3"" Nipple installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/718,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 49.3'',E 005° 56' 37.0'',12/12/2013,12/12/2013,,11:30,,,,,Oil theft,Sabotage,"6"" Nipple installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/720,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lasukugbene,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 27.0'',E 006° 02' 49.6'',13/12/2013,13/12/2013,,9:35,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with 2"" pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/721,,"14"" Ogboinbiri/Tebidaba pipeline",Pipeline,Ikebiri,OGBAINBIRI,SAR,Southern Ijaw,Bayelsa State,N 04° 40' 45.3'',E 005° 57' 42.0'',13/12/2013,13/12/2013,,10:56,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/723,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.3'',E 006° 00' 41.9'',14/12/2013,14/12/2013,,14:00,,,,,Oil theft,Sabotage,Drilled hole on pipe by unknown person(s)..,Third party,TBE,
2013/OS/724,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lasukugbene,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 33.9'',E 006° 02' 18.5'',14/12/2013,14/12/2013,,15:00,,,,,Oil theft,Sabotage,"Previously repaired point cut open and 3"" nipple installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/727,,Mgbede 13Ss flowline,FLOWLINE,Mgbede,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 41.2'',E 006° 42' 52.5'',16/12/2013,16/12/2013,,11:18,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/731,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.2'',E 006° 00' 28.1'',16/12/2013,16/12/2013,,14:00,16/12/2013,,OML 63,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s)..",Third party,8,3
2013/OS/732,,"10"" Clough Creek/Tebidaba Pipeline",Pipeline,Apoi,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 43' 29.7'',E 005° 51' 28.9'',16/12/2013,16/12/2013,,14:03,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/734,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.1'',E 006° 00' 42.5'',17/12/2013,17/12/2013,,14:00,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/735,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.2'',E 006° 00' 28.1'',17/12/2013,17/12/2013,,14:00,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/743,,"18"" Obama/Brass Pipeline",Pipeline,Adikiama,BRASS TERMINAL,SAR,Nembe,Bayelsa State,N 04° 32' 13.2'',E 006° 15' 35.9'',19/12/2013,19/12/2013,,14:23,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/745,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 36.2'',E 005° 57' 27.3'',20/12/2013,20/12/2013,,13:40,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/746,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.6'',E 006° 00' 27.7'',21/12/2013,21/12/2013,,11:20,,,,,Oil theft,Sabotage,"4"" nipple installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/747,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 30.9'',E 006° 03' 00.4'',21/12/2013,21/12/2013,11:55,11:55,,,,,Oil theft,Sabotage,"4""valve installed on pipeline..",Third party,TBE,
2013/OS/749,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 00.9'',E 006° 03' 00.4'',21/12/2013,21/12/2013,16:00,16:00,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown perswon(s)..",Third party,TBE,
2013/OS/754,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.3'',E 006° 00' 28.3'',24/12/2013,24/12/2013,15:10,15:10,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/756,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 49.2'',E 005° 56' 36.6'',25/12/2013,25/12/2013,,12:20,,,,,Oil theft,Sabotage,"8"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/757,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 34.4'',E 005° 57' 31.2'',26/12/2013,26/12/2013,,12:35,,,,,Oil theft,Sabotage,"6"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/759,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.2'',E 006° 00' 42.1'',26/12/2013,26/12/2013,,15:10,,,,,Oil theft,Sabotage,Previously repaired oil theft point cut open with hacksaw by unknown person(s)..,Third party,TBE,
2013/OS/761,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.0'',E 006° 00' 28.5'',26/12/2013,26/12/2013,15:30,15:30,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open with hacksaw and 4"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/762,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 37.7'',E 006° 00' 21.4'',27/12/2013,27/12/2013,13:20,13:20,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/769,,"18"" Tebidaba/Brass Pipeline",Pipeline,Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 17.4'',E 006° 01' 03.6'',29/12/2013,29/12/2013,,13:57,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s).",Third party,TBE,
2013/OS/770,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 38.4'',E 006° 00' 19.4'',29/12/2013,29/12/2013,,9:45,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/771,,"18"" EOC/Ogoda Pipeline",PIPELINE (OIL),Okwawiriwa,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 25' 07.6'',E 006° 41' 23.3'',30/12/2013,30/12/2013,,9:30,30/12/2013,,OML 61,,Hacksaw cut,Sabotage,,,5,0.46
2013/OS/774,,"18"" Obama/Brass Pipeline",Pipeline,Adikiama,BRASS TERMINAL,SAR,Nembe,Bayelsa State,N 04° 29' 56.8'',E 006° 15' 26.6'',30/12/2013,30/12/2013,,14:15,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open and 3"" valve installed on pipe with pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/775,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 35.4'',E 006° 00' 26.0'',30/12/2013,30/12/2013,,11:30,,,,,Oil theft,Sabotage,"3"" nipple installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/776,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 40.0'',E 006° 00' 16.4'',30/12/2013,30/12/2013,,14:00,,,,,Oil theft,Sabotage,"4"" nipple valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/777,,"10"" Clough Creek/Tebidaba Pipeline",Pipeline,Azagbene,TEBIDABA,SAR,Ekeremor,Bayelsa State,N 04° 47' 51.0'',E 005° 44' 39.5'',30/12/2013,30/12/2013,,16:40,,,,,Oil theft,Sabotage,"6"" valve installed on pipe with elbow pipe connection by unknown person(s)..",Third party,TBE,
2013/OS/778,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,BRASS TERMINAL,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.7'',E 006° 00' 28.4'',31/12/2013,31/12/2013,,12:15,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person(s)..",Third party,TBE,
2013/OS/780,,Obiafu 28Ls flowline,FLOWLINE,Obiafu,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 24' 47.7'',E 006° 35' 36.6'',29/12/2013,29/12/2013,,9:00,29/12/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,4,0.31
